"Creditability","Duration","Credit.Amount","Account.Balance","Savings","NCredits","Gender","Occupation","Marital.Status"
1,12,1934,"4","1",2,"m","employed","Married"
1,33,2764,"4","1",2,"f","employed","Divorced"
1,9,1224,"4","1",2,"m","employed","Married"
1,9,276,"2","1",1,"m","unemployed","Single"
0,12,797,"4","1",1,"f","unemployed","Divorced"
1,36,5371,"1","1",2,"m","employed","Married"
1,24,2578,"4","4",1,"m","employed","Married"
1,21,1591,"4","2",2,"m","self-employed","Married"
1,12,1858,"1","1",1,"f","employed","Divorced"
1,11,7228,"4","1",2,"m","unemployed","Married"
0,45,11816,"1","1",2,"m","employed","Married"
1,24,2611,"4","1",2,"m","employed","Single"
1,30,1715,"2","1",1,"f","employed","Divorced"
0,24,1938,"1","1",1,"m","employed","Divorced"
1,48,7238,"4","1",2,"m","employed","Married"
0,12,1123,"4","3",1,"f","unemployed","Divorced"
1,18,2238,"4","1",2,"f","employed","Divorced"
0,18,3114,"1","1",1,"f","employed","Divorced"
1,12,1076,"4","1",1,"m","employed","Single"
1,12,2577,"1","1",1,"m","employed","Divorced"
1,15,1308,"2","1",2,"m","unemployed","Married"
0,36,6887,"1","1",1,"m","employed","Married"
1,24,1311,"4","2",1,"m","employed","Single"
1,24,2058,"4","1",2,"m","employed","Divorced"
1,7,730,"4","1",2,"m","unemployed","Married"
1,12,1655,"4","1",2,"m","unemployed","Married"
1,47,10722,"1","1",1,"f","unemployed","Divorced"
1,15,1262,"4","3",2,"m","employed","Married"
1,36,909,"4","3",1,"m","employed","Married"
1,21,2923,"3","2",1,"f","self-employed","Divorced"
1,6,709,"3","4",1,"m","unemployed","Single"
1,10,1225,"3","1",1,"m","employed","Married"
0,27,3915,"2","1",1,"m","employed","Married"
0,30,1908,"3","1",1,"m","self-employed","Married"
0,21,2767,"2","2",2,"m","unemployed","Divorced"
1,6,1238,"4","1",1,"m","self-employed","Married"
1,18,2320,"4","1",2,"m","employed","Single"
1,30,3656,"3","1",2,"m","unemployed","Married"
0,24,3345,"1","1",1,"m","self-employed","Married"
1,27,4526,"4","4",2,"m","unemployed","Married"
1,18,1941,"2","4",1,"m","unemployed","Married"
1,12,2122,"1","1",2,"m","unemployed","Married"
0,24,2064,"2","1",1,"f","self-employed","Divorced"
1,27,2442,"1","1",4,"m","self-employed","Married"
1,9,1236,"4","1",1,"f","employed","Divorced"
0,9,745,"3","1",1,"f","unemployed","Divorced"
1,6,1047,"3","1",1,"f","unemployed","Divorced"
1,48,12169,"2","1",1,"m","self-employed","Married"
1,15,1520,"4","1",1,"m","employed","Married"
1,15,2788,"4","1",2,"f","employed","Divorced"
0,30,3108,"1","1",1,"m","unemployed","Divorced"
1,36,4795,"2","1",1,"f","self-employed","Divorced"
0,6,4611,"4","1",1,"f","employed","Divorced"
0,24,915,"1","1",1,"f","employed","Divorced"
0,12,1295,"2","1",1,"f","employed","Divorced"
0,60,14027,"2","1",1,"m","self-employed","Married"
0,24,2439,"1","1",1,"f","employed","Divorced"
1,36,2299,"4","3",1,"m","employed","Married"
1,20,2629,"2","1",2,"m","employed","Married"
1,36,2348,"1","1",2,"m","employed","Single"
1,18,3378,"4","1",1,"m","employed","Married"
1,12,682,"4","2",2,"f","employed","Divorced"
1,15,1905,"3","1",1,"m","self-employed","Married"
0,48,14421,"2","1",1,"m","employed","Married"
1,21,2476,"4","1",1,"m","self-employed","Married"
1,48,7582,"2","2",1,"m","self-employed","Married"
1,15,1721,"1","1",1,"m","employed","Married"
1,21,2288,"4","1",1,"f","employed","Divorced"
1,18,1940,"1","1",1,"m","self-employed","Married"
0,42,7174,"1","1",1,"f","self-employed","Divorced"
0,12,1484,"2","1",1,"m","employed","Single"
0,12,697,"1","1",2,"m","employed","Married"
0,18,1924,"2","1",1,"f","employed","Divorced"
1,36,3595,"4","1",1,"m","employed","Married"
1,6,1221,"4","1",2,"m","employed","Single"
1,12,1424,"2","1",1,"m","employed","Married"
1,24,6313,"4","1",1,"m","self-employed","Married"
1,12,2251,"3","1",1,"f","unemployed","Divorced"
1,12,2859,"4","1",1,"m","self-employed","Married"
0,36,2712,"1","1",1,"m","employed","Married"
0,9,1478,"4","1",1,"m","employed","Married"
1,27,8613,"4","4",2,"m","employed","Married"
1,12,1264,"4","1",1,"m","unemployed","Married"
1,11,1322,"2","4",2,"f","employed","Divorced"
1,18,1950,"4","1",2,"m","employed","Married"
0,30,4280,"2","2",2,"f","unemployed","Divorced"
1,18,5302,"1","1",3,"m","self-employed","Married"
0,24,11560,"2","1",2,"f","self-employed","Divorced"
1,24,2896,"2","2",1,"m","employed","Married"
1,36,4473,"3","1",1,"m","employed","Married"
0,36,2671,"2","2",1,"f","employed","Divorced"
1,10,1231,"4","1",2,"m","unemployed","Married"
1,11,3939,"1","1",2,"m","unemployed","Married"
1,30,2522,"1","1",1,"m","employed","Married"
1,6,362,"4","2",2,"f","unemployed","Divorced"
0,18,884,"2","1",1,"m","employed","Married"
1,15,1213,"4","3",1,"m","employed","Married"
1,6,343,"1","1",1,"f","employed","Divorced"
1,48,6681,"2","1",1,"m","employed","Married"
1,12,1413,"4","4",1,"m","employed","Married"
1,24,4679,"4","1",2,"m","unemployed","Married"
1,24,6615,"1","1",2,"m","self-employed","Married"
1,12,2141,"4","2",1,"m","employed","Married"
1,24,3512,"2","2",2,"m","employed","Married"
1,24,1249,"4","1",1,"m","employed","Single"
1,27,5965,"2","1",2,"m","self-employed","Married"
1,14,3973,"1","1",1,"m","employed","Married"
0,48,10297,"1","1",3,"m","employed","Married"
1,18,3001,"2","1",1,"f","employed","Divorced"
1,10,894,"4","1",1,"f","employed","Divorced"
1,18,1984,"4","1",2,"m","employed","Married"
0,48,5096,"2","1",1,"f","self-employed","Divorced"
0,48,3060,"2","1",2,"m","employed","Married"
1,18,6070,"4","1",2,"m","employed","Married"
1,8,907,"2","1",1,"m","employed","Single"
1,12,1155,"2","1",2,"m","unemployed","Single"
1,9,2030,"2","1",1,"m","employed","Married"
0,36,7127,"4","1",2,"f","employed","Divorced"
1,21,2353,"2","1",2,"m","employed","Divorced"
1,6,700,"4","1",2,"m","employed","Married"
0,60,7297,"1","1",1,"m","employed","Married"
1,24,1413,"4","1",1,"m","employed","Single"
1,12,1240,"4","1",2,"f","employed","Divorced"
1,15,4657,"4","1",1,"m","employed","Married"
1,21,3599,"1","1",1,"f","unemployed","Divorced"
1,13,1409,"4","2",1,"f","employed","Divorced"
0,36,1977,"1","1",1,"m","self-employed","Married"
1,24,4712,"2","1",2,"m","self-employed","Married"
1,12,1200,"1","1",1,"f","employed","Divorced"
0,18,3966,"1","1",3,"f","employed","Divorced"
1,15,1478,"4","1",2,"m","employed","Single"
1,15,5045,"4","1",1,"f","employed","Divorced"
1,39,14179,"1","1",2,"m","self-employed","Married"
0,30,1919,"2","2",2,"m","self-employed","Married"
0,18,2124,"1","1",2,"f","employed","Divorced"
1,20,3485,"4","1",2,"m","employed","Divorced"
0,36,5179,"1","1",1,"m","employed","Married"
1,12,1107,"1","1",1,"m","self-employed","Married"
0,24,3092,"2","2",1,"m","employed","Single"
1,21,3763,"1","1",1,"m","unemployed","Married"
1,12,1158,"2","3",1,"m","employed","Divorced"
1,12,1101,"4","1",2,"m","employed","Single"
1,24,2670,"4","1",1,"m","self-employed","Married"
0,24,4110,"1","1",2,"m","employed","Married"
1,12,2445,"4","1",1,"m","employed","Single"
1,60,10366,"4","1",1,"m","self-employed","Married"
0,36,7980,"4","1",2,"m","employed","Married"
1,24,4351,"2","1",1,"f","unemployed","Divorced"
0,12,1534,"2","1",1,"m","employed","Single"
1,24,5507,"4","1",2,"m","employed","Married"
1,48,6110,"4","1",1,"m","employed","Married"
0,30,2406,"1","1",1,"f","employed","Divorced"
1,24,1201,"2","1",1,"m","employed","Married"
1,18,1239,"2","1",1,"m","employed","Married"
1,36,5711,"4","4",2,"m","self-employed","Married"
1,18,2427,"2","1",2,"m","employed","Married"
0,12,3386,"1","1",1,"m","employed","Married"
1,12,1344,"1","1",2,"m","unemployed","Married"
1,12,3527,"4","1",1,"m","self-employed","Married"
1,8,3398,"1","1",2,"m","unemployed","Married"
1,12,1963,"4","1",2,"m","self-employed","Married"
1,18,6260,"2","1",1,"m","unemployed","Married"
1,15,1569,"4","2",1,"m","unemployed","Married"
1,24,6419,"1","1",2,"f","self-employed","Divorced"
1,60,7418,"2","1",1,"m","unemployed","Married"
1,24,3488,"4","2",1,"f","employed","Divorced"
1,15,1478,"1","1",2,"m","employed","Married"
1,9,1549,"2","1",1,"m","unemployed","Married"
1,24,1377,"3","2",1,"f","employed","Divorced"
1,15,3186,"4","4",1,"f","employed","Divorced"
0,24,1355,"2","1",1,"f","unemployed","Divorced"
1,18,3213,"2","3",1,"m","employed","Single"
1,12,3651,"1","4",1,"m","employed","Married"
0,10,2210,"4","1",1,"m","unemployed","Married"
1,24,3757,"4","1",1,"f","employed","Divorced"
0,12,639,"2","1",1,"m","employed","Married"
0,18,1190,"1","1",3,"f","unemployed","Divorced"
1,24,1747,"1","1",1,"m","unemployed","Married"
1,16,1175,"2","1",3,"m","unemployed","Married"
1,9,1138,"1","1",2,"m","unemployed","Married"
1,12,7472,"2","1",1,"f","unemployed","Divorced"
1,12,930,"4","1",4,"m","employed","Married"
1,10,1521,"2","1",1,"m","unemployed","Divorced"
0,48,3914,"4","1",1,"m","employed","Divorced"
1,9,2118,"2","1",1,"m","unemployed","Married"
1,9,1388,"4","1",1,"f","employed","Divorced"
0,36,2145,"1","1",2,"m","employed","Married"
1,12,2214,"1","1",1,"m","unemployed","Married"
0,12,1108,"1","1",2,"m","employed","Married"
1,21,2993,"4","1",2,"m","unemployed","Married"
1,15,5324,"4","3",1,"f","employed","Divorced"
1,24,2684,"4","1",2,"m","unemployed","Married"
1,12,1255,"4","1",2,"m","unemployed","Married"
1,12,2578,"1","1",1,"f","self-employed","Divorced"
0,36,9271,"1","1",1,"m","employed","Married"
1,18,1055,"4","1",2,"f","employed","Divorced"
1,12,2096,"4","1",1,"m","unemployed","Married"
1,42,6289,"3","1",2,"m","employed","Divorced"
0,18,1530,"4","1",2,"m","employed","Married"
0,36,14318,"2","1",1,"m","self-employed","Married"
1,6,1343,"3","1",2,"m","employed","Married"
1,6,3518,"4","1",1,"m","employed","Married"
1,36,3079,"4","1",1,"m","employed","Married"
0,18,1131,"1","1",1,"f","employed","Divorced"
0,9,654,"1","1",1,"m","unemployed","Married"
1,12,585,"2","1",2,"m","employed","Single"
1,9,2301,"4","2",1,"f","employed","Divorced"
1,12,983,"2","4",1,"f","unemployed","Divorced"
1,24,3069,"2","2",1,"m","employed","Married"
1,15,1403,"1","1",1,"f","employed","Divorced"
0,24,12579,"2","1",1,"f","self-employed","Divorced"
1,48,8358,"2","3",2,"f","employed","Divorced"
1,24,2957,"1","1",2,"m","employed","Married"
0,15,1512,"2","4",2,"m","employed","Single"
1,24,1967,"2","1",1,"f","employed","Divorced"
1,12,708,"1","1",1,"m","unemployed","Married"
1,24,1552,"4","1",1,"m","employed","Married"
1,9,2134,"4","1",3,"m","employed","Married"
1,12,2073,"4","2",1,"f","employed","Divorced"
1,9,1364,"1","1",1,"m","employed","Married"
0,48,6560,"2","2",1,"m","employed","Married"
0,18,750,"1","1",1,"f","unemployed","Divorced"
0,48,6416,"2","1",1,"f","employed","Divorced"
1,24,999,"4","1",2,"m","employed","Married"
0,12,888,"2","1",1,"m","unemployed","Married"
0,12,741,"1","2",1,"f","employed","Divorced"
0,9,1501,"2","1",2,"f","self-employed","Divorced"
1,24,717,"4","1",2,"m","employed","Single"
0,21,5003,"4","1",2,"f","employed","Divorced"
1,48,12204,"2","1",1,"m","self-employed","Married"
1,4,1494,"3","1",1,"m","unemployed","Married"
1,18,3590,"2","1",3,"m","unemployed","Single"
1,12,886,"4","1",1,"f","employed","Divorced"
1,30,3857,"1","1",1,"m","self-employed","Divorced"
1,36,7409,"4","1",2,"m","employed","Married"
1,12,1736,"4","1",1,"f","unemployed","Divorced"
1,21,3652,"2","1",2,"m","employed","Married"
0,30,8386,"2","1",1,"m","employed","Married"
0,21,1188,"2","1",1,"f","employed","Divorced"
0,24,8648,"4","1",2,"m","employed","Married"
1,15,975,"1","1",2,"m","employed","Divorced"
0,39,4933,"2","1",2,"m","employed","Married"
1,24,4139,"4","2",2,"m","unemployed","Married"
1,21,2782,"4","3",1,"f","self-employed","Divorced"
1,12,2121,"1","1",2,"m","employed","Married"
1,48,3578,"4","1",1,"m","employed","Married"
1,15,1459,"4","1",1,"f","unemployed","Divorced"
0,45,3031,"2","2",1,"m","employed","Married"
0,27,2570,"4","1",1,"f","employed","Divorced"
0,9,5129,"2","1",1,"f","self-employed","Divorced"
1,12,1574,"4","1",1,"m","employed","Married"
1,9,1154,"2","1",3,"m","unemployed","Married"
1,7,2329,"2","1",1,"f","employed","Divorced"
0,12,939,"3","3",3,"m","employed","Single"
1,6,683,"3","1",1,"f","employed","Divorced"
0,6,14896,"1","1",1,"m","self-employed","Married"
1,15,2687,"3","1",1,"m","employed","Married"
1,24,1559,"4","1",1,"m","employed","Married"
0,48,10961,"2","4",2,"m","employed","Married"
0,24,1285,"1","1",1,"f","employed","Divorced"
1,6,4716,"1","1",2,"m","unemployed","Married"
1,6,3676,"1","1",3,"m","employed","Married"
1,18,2249,"1","2",1,"m","self-employed","Married"
1,24,2022,"4","1",1,"f","employed","Divorced"
1,6,1068,"2","1",1,"m","employed","Married"
1,24,4169,"1","1",1,"m","employed","Married"
1,12,1092,"2","1",2,"f","employed","Divorced"
1,15,1386,"4","1",1,"m","employed","Single"
1,15,3029,"4","1",1,"m","employed","Married"
1,12,2331,"4","1",1,"m","employed","Married"
1,36,11054,"4","1",1,"m","self-employed","Married"
1,12,2930,"2","1",1,"f","employed","Divorced"
0,24,4870,"1","1",2,"m","employed","Married"
1,30,7596,"4","1",2,"m","employed","Married"
0,12,2292,"4","1",2,"m","self-employed","Married"
1,18,1169,"4","1",2,"m","employed","Married"
1,12,1526,"1","1",2,"m","self-employed","Married"
1,12,2171,"4","1",1,"f","employed","Divorced"
1,9,3832,"4","1",1,"m","unemployed","Married"
1,6,2116,"3","1",1,"m","employed","Married"
1,8,1414,"2","1",1,"m","employed","Married"
1,54,9436,"4","1",1,"m","unemployed","Married"
1,18,3244,"2","1",2,"f","employed","Divorced"
1,10,1038,"1","1",2,"m","employed","Married"
1,20,4272,"1","1",2,"f","employed","Divorced"
1,10,2132,"1","1",2,"f","employed","Divorced"
0,24,4736,"2","1",1,"f","unemployed","Divorced"
0,24,1024,"1","1",1,"m","employed","Single"
1,60,15653,"4","1",2,"m","employed","Married"
1,12,1007,"2","4",1,"m","employed","Single"
1,15,2511,"1","1",1,"f","employed","Divorced"
1,42,7166,"4","1",1,"m","employed","Single"
1,12,1860,"2","1",2,"m","self-employed","Married"
1,24,4526,"4","1",1,"m","self-employed","Married"
1,12,3077,"4","1",1,"m","employed","Married"
0,18,1245,"2","1",1,"m","employed","Single"
1,11,3905,"1","1",2,"m","employed","Married"
0,18,1533,"4","1",1,"m","unemployed","Single"
1,6,609,"1","1",2,"f","employed","Divorced"
0,12,709,"1","1",1,"m","unemployed","Married"
1,12,1893,"1","1",1,"f","employed","Divorced"
1,15,1829,"4","1",2,"m","employed","Married"
1,39,2569,"4","3",1,"m","employed","Married"
0,27,5293,"1","1",2,"m","employed","Married"
1,12,1495,"4","1",2,"m","unemployed","Married"
0,18,1345,"1","1",1,"m","employed","Single"
1,12,776,"4","1",1,"m","employed","Single"
0,15,1275,"1","1",1,"f","employed","Divorced"
0,21,2580,"4","3",1,"m","unemployed","Married"
1,12,763,"4","1",1,"f","employed","Divorced"
1,24,1755,"1","1",1,"f","unemployed","Divorced"
1,12,701,"1","1",1,"m","unemployed","Single"
1,24,2910,"1","1",1,"m","self-employed","Married"
0,48,3051,"1","1",1,"m","employed","Married"
1,12,2171,"1","1",2,"m","unemployed","Married"
1,15,3368,"4","4",2,"m","employed","Married"
1,15,1845,"1","1",1,"f","employed","Divorced"
1,18,2899,"2","1",1,"m","employed","Married"
1,60,6527,"4","1",1,"m","employed","Married"
1,4,1503,"4","1",2,"m","unemployed","Married"
1,18,1113,"2","1",1,"f","unemployed","Divorced"
0,6,1209,"2","1",1,"m","self-employed","Married"
1,60,13756,"4","1",1,"m","self-employed","Married"
1,24,4020,"1","1",1,"m","employed","Married"
1,48,8487,"2","1",1,"f","employed","Divorced"
1,18,3850,"4","1",2,"m","employed","Married"
0,24,2397,"4","3",2,"m","employed","Married"
0,8,1237,"2","1",1,"f","employed","Divorced"
1,24,2197,"4","1",2,"m","employed","Married"
0,30,4249,"2","1",2,"m","self-employed","Single"
1,24,5804,"4","4",2,"m","employed","Married"
1,36,2862,"2","2",1,"m","employed","Married"
0,36,3446,"1","1",1,"m","employed","Married"
1,15,2221,"4","3",1,"f","employed","Divorced"
1,6,2063,"2","1",1,"m","self-employed","Single"
1,12,1168,"1","1",1,"m","unemployed","Single"
1,12,1297,"3","1",1,"m","employed","Single"
1,24,1231,"1","4",2,"f","self-employed","Divorced"
1,24,1597,"4","1",2,"m","employed","Married"
1,24,5084,"2","1",1,"f","employed","Divorced"
1,18,1098,"4","1",2,"f","unemployed","Divorced"
0,36,6229,"1","1",2,"f","unemployed","Divorced"
1,12,3573,"2","1",1,"f","unemployed","Divorced"
1,48,3609,"4","1",1,"f","employed","Divorced"
0,18,4165,"4","1",2,"m","employed","Married"
0,24,2996,"1","1",1,"m","employed","Single"
0,9,959,"2","1",1,"f","employed","Divorced"
1,10,1347,"3","1",2,"m","employed","Married"
1,24,2463,"4","2",2,"m","employed","Single"
1,18,1445,"3","1",1,"m","unemployed","Married"
0,48,11590,"4","2",2,"f","unemployed","Divorced"
1,24,7721,"1","1",1,"f","employed","Divorced"
1,12,1318,"2","4",1,"m","employed","Married"
0,12,719,"4","1",1,"m","unemployed","Married"
0,18,1808,"4","1",1,"f","employed","Divorced"
0,20,2235,"1","1",2,"m","employed","Single"
1,48,5381,"2","1",1,"m","unemployed","Married"
1,24,3149,"1","1",1,"m","employed","Married"
0,24,1333,"1","1",2,"m","employed","Married"
1,36,5742,"4","2",2,"m","employed","Married"
1,18,4380,"1","2",1,"m","unemployed","Married"
0,18,1864,"4","2",2,"f","employed","Divorced"
1,12,2028,"2","1",1,"m","employed","Married"
0,24,3621,"4","2",2,"m","employed","Married"
1,24,2284,"4","1",1,"m","employed","Married"
1,15,3594,"4","1",2,"f","unemployed","Divorced"
1,27,2528,"2","1",1,"f","employed","Divorced"
1,24,3868,"4","1",2,"f","self-employed","Divorced"
1,15,2728,"2","1",3,"m","employed","Married"
0,12,4843,"1","1",2,"m","employed","Married"
1,10,7308,"2","1",1,"m","self-employed","Married"
1,6,1595,"4","1",1,"m","employed","Married"
1,12,1163,"4","3",1,"m","employed","Married"
1,15,3343,"4","1",1,"m","employed","Married"
0,30,5234,"2","1",2,"m","self-employed","Single"
0,24,1442,"1","1",2,"f","employed","Divorced"
0,12,2579,"1","1",1,"m","unemployed","Married"
1,39,11760,"2","2",1,"m","employed","Married"
1,28,2743,"4","1",2,"m","employed","Married"
0,12,1331,"2","1",1,"m","employed","Married"
0,48,7763,"1","1",1,"m","self-employed","Married"
0,24,2303,"1","1",1,"m","employed","Married"
0,12,1282,"1","1",1,"f","employed","Divorced"
0,15,1264,"2","2",1,"m","employed","Single"
1,15,3556,"4","1",1,"m","employed","Married"
1,9,2799,"1","1",2,"m","employed","Married"
0,48,6331,"1","1",2,"m","employed","Married"
1,6,1374,"1","1",1,"m","unemployed","Married"
1,18,1149,"4","4",2,"m","employed","Married"
1,24,1851,"4","1",2,"m","employed","Single"
1,12,2748,"4","1",3,"f","unemployed","Divorced"
1,36,5493,"1","1",1,"m","employed","Married"
0,24,4057,"2","1",1,"m","employed","Divorced"
1,13,1797,"1","1",2,"m","unemployed","Married"
1,12,1804,"2","2",1,"m","employed","Married"
1,18,1295,"2","1",2,"f","employed","Divorced"
0,24,3234,"1","1",1,"f","unemployed","Divorced"
1,24,1743,"2","1",2,"m","unemployed","Married"
0,48,9960,"2","1",1,"f","employed","Divorced"
1,18,1049,"1","1",1,"f","employed","Divorced"
1,12,3016,"3","1",1,"m","employed","Single"
1,9,2136,"1","1",1,"m","employed","Married"
1,24,1469,"4","2",1,"m","unemployed","Single"
